train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
214,-0.13599896151506854,-0.13616269021024383,-0.13542591108195495,-0.43144834732564313,-0.44379994079190466,-0.4160382090502439
429,-0.13485108673614385,-0.13563180348324025,-0.13211857812130656,-0.4199666742447888,-0.4309149539064981,-0.40987327130915685
643,-0.12910170341942756,-0.1306145508817172,-0.12636177812861635,-0.403326300071011,-0.407360487292455,-0.4003768480338533
858,-0.13616674220171515,-0.13832118775405414,-0.1347673524306197,-0.41297645114682285,-0.41971030657491987,-0.39535681009088014
1073,-0.13475269034104895,-0.1415818123249118,-0.1324507158184931,-0.41345829768551834,-0.4192480995021254,-0.40381395283979715
1287,-0.13754283109048088,-0.1393657093206061,-0.13361577467095045,-0.4127477826710083,-0.42031948328345653,-0.4046431453037183
1502,-0.13780681190167052,-0.14148728204607058,-0.13435807155224086,-0.41817649619143005,-0.4418685340712535,-0.39845267792232764
1716,-0.13447270079619864,-0.13866737519898956,-0.12934750084692337,-0.42167914556815056,-0.4296882346466832,-0.4175642301788151
1931,-0.13545867841715203,-0.13807649448891052,-0.1334973688298023,-0.4069606900895981,-0.42126156698453576,-0.39427070064158853
2146,-0.13452501191050184,-0.13831854636287855,-0.13169913077750156,-0.40227451658895264,-0.4101671301222866,-0.38811868713157355
