train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
516,-0.3128552971576227,-0.3178294573643411,-0.29544573643410854,-0.4081269349845201,-0.4175567595459236,-0.3997291021671827
1033,-0.30238786705388837,-0.3062278154243304,-0.2889480477573411,-0.4029927760577916,-0.411171310629515,-0.39434984520123845
1550,-0.2988387096774194,-0.30043010752688176,-0.2933548387096774,-0.4007223942208462,-0.4026702786377709,-0.3973942208462332
2067,-0.29746815029833895,-0.3022093210772456,-0.29559748427672955,-0.40183178534571723,-0.40540505675954597,-0.39820691434468525
2584,-0.2988261093911248,-0.3033410732714139,-0.29753611971104227,-0.40010319917440657,-0.4070304437564499,-0.393937048503612
3100,-0.30037634408602154,-0.3020322580645161,-0.29874731182795705,-0.39971620227038185,-0.4062564499484004,-0.3944014447884417
3617,-0.3000092157404847,-0.3007096120173256,-0.29915675974564554,-0.3990712074303406,-0.4039731682146543,-0.3968782249742002
4134,-0.3001290114497662,-0.30074181583615545,-0.29968150298338975,-0.40012899896800835,-0.4042569659442725,-0.39734262125902997
4651,-0.29888912778613924,-0.2999068300723859,-0.29743782699061133,-0.39765221878224977,-0.4016769865841074,-0.39509803921568626
5168,-0.30074819401444786,-0.30269285345717234,-0.29957430340557273,-0.3981166150670795,-0.40323787409700723,-0.39529153766769864
