train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
456,0.0,0.0,-0.0,-0.41034180543383,-0.42375109553023665,-0.3920245398773006
912,0.0,0.0,-0.0,-0.4137890739117733,-0.4233128834355828,-0.40365176745544845
1369,-0.0014609203798392986,-0.0019478938397857316,-0.00014609203798393,-0.4112182296231376,-0.4211364300321355,-0.40130002921413965
1825,-0.0022648401826484013,-0.002922374429223744,-0.0005479452054794522,-0.41045866199240433,-0.4156003505696757,-0.4052877592754894
2282,-0.004206836108676599,-0.004937189599766287,-0.0037978381536663748,-0.40394390885188425,-0.40988898626935444,-0.39747297692082967
2738,-0.006687768849931011,-0.011159808457105753,-0.003489976462949436,-0.4038367903398578,-0.40871555166033696,-0.3995617879053462
3194,-0.0062478257844569675,-0.010046615181242606,-0.003687469560982397,-0.40048690232739315,-0.4036761125718181,-0.3949070016554679
3651,-0.007602179007273502,-0.009492072187224199,-0.005654463008612557,-0.40221053656636485,-0.4061398383484273,-0.39853929301782065
4107,-0.007180153126099073,-0.010315721126531938,-0.0050266482698915135,-0.40767358067971565,-0.41740188918103033,-0.3951650598889862
4564,-0.006680299931833673,-0.00963092803583601,-0.00471321452916545,-0.3892638036809816,-0.39301295160190863,-0.38355000486902324
