train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
456,0.5171052631578947,0.5043859649122807,0.5616228070175439,0.29027169149868537,0.26923751095530235,0.330236634531113
912,0.43157894736842106,0.4243421052631579,0.45690789473684207,0.2860648553900088,0.25644171779141106,0.3217353198948291
1369,0.4067202337472608,0.40175310445580714,0.42118334550766984,0.2897458369851008,0.2541630148992112,0.31647677475898334
1825,0.39342465753424655,0.37419178082191784,0.4005479452054794,0.2960560911481157,0.27344434706397897,0.3114811568799299
2282,0.3721297107800175,0.3507449605609115,0.38124452234881684,0.29325153374233126,0.27037686240140224,0.30359333917616127
2738,0.35317750182615043,0.33506208911614316,0.36376917457998537,0.2890446976336547,0.2675723049956179,0.2969325153374233
3194,0.3451471509079524,0.3309016906700063,0.3515967438948028,0.2900964066608238,0.2689745836985101,0.30359333917616127
3651,0.3324568611339359,0.31824157764995886,0.34563133388112843,0.2858895705521472,0.2618755477651183,0.3022787028921998
4107,0.33270026783540296,0.3140735329924519,0.3422692963233504,0.28448729184925503,0.2642418930762489,0.30219106047326905
4564,0.32011393514461,0.30554338299737077,0.3251314636283962,0.27957931638913236,0.2659947414548642,0.29404031551270815
