train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
456,-0.18786549707602335,-0.19005847953216373,-0.18019005847953215,-0.40461583406368684,-0.41156879929886064,-0.3997955010224949
912,-0.1969298245614035,-0.19919590643274854,-0.18899853801169592,-0.4015191352614666,-0.4042068361086765,-0.3973415132924336
1369,-0.19561723886048213,-0.1964937910883857,-0.19254930606281956,-0.39935728892784106,-0.4025124160093485,-0.3918492550394391
1825,-0.19371689497716896,-0.19452054794520546,-0.19163470319634707,-0.3976044405492258,-0.4018112766579024,-0.3897750511247444
2282,-0.19357288927841074,-0.19820333041191937,-0.1920829681565878,-0.39515045281916444,-0.39842243645924624,-0.3884604148407829
2738,-0.19364499634769905,-0.19514243973703432,-0.1924519113708303,-0.39333917616126207,-0.3990359333917617,-0.3879345603271984
3194,-0.19553329158839491,-0.1986641619703611,-0.19356084324775624,-0.3938066023955594,-0.3986853637160385,-0.38796377446684194
3651,-0.1970601661645211,-0.19962567333150733,-0.1942572811101981,-0.39591002044989776,-0.40277534326614084,-0.3915571136430033
4107,-0.19574709844980115,-0.19816573330086842,-0.19304439574709847,-0.395325737657026,-0.40268770084721006,-0.3888401986561496
4564,-0.1974437627811861,-0.19950335962605903,-0.1953914694712241,-0.39567630733274906,-0.40020449897750515,-0.3865907099035934
