train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
324,0.33086419753086416,0.30061728395061726,0.3395061728395062,0.2890210798659711,0.260674295166597,0.3140584952647556
649,0.3208012326656394,0.31587057010785824,0.3380585516178737,0.2949245329891722,0.28706896551724137,0.3046740467404674
974,0.31047227926078025,0.31006160164271046,0.311088295687885,0.2828598088936555,0.26527093596059115,0.3019680196801968
1299,0.30454195535026946,0.29568899153194766,0.3102386451116243,0.27990717345597105,0.2666256157635468,0.2952379437587479
1624,0.30172413793103453,0.29131773399014776,0.30849753694581283,0.2811402153430401,0.26609877059361725,0.29253267409521383
1949,0.2937916880451514,0.282811698306824,0.3017957927142124,0.28064639267082325,0.26092590236247193,0.29314707432788617
2274,0.28970976253298153,0.2789357959542656,0.29771328056288476,0.2813850059682863,0.2621572779767206,0.29327022703724576
2599,0.28326279338207005,0.2737206617929973,0.2908811081185071,0.27720054047831116,0.25862068965517243,0.28321639127721326
2924,0.2844049247606019,0.27561559507523936,0.2917236662106703,0.27670974739304044,0.25895651936814934,0.28678751688994725
3249,0.28070175438596495,0.27457679285934133,0.28938134810710986,0.27671095922781885,0.26043389744242273,0.2916256157635468
