train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
324,0.07777777777777778,0.0,0.35,0.0688812947242773,0.0,0.30787223020013443
649,0.19907550077041603,0.18798151001540833,0.237904468412943,0.18241052114954645,0.16416256157635467,0.23321033210332104
974,0.275564681724846,0.2404517453798768,0.2874743326488706,0.2612028066093469,0.24049906385763364,0.27690863977605296
1299,0.2783679753656659,0.23795227097767513,0.3010007698229407,0.26244008991814055,0.24218942189421896,0.2754926108374384
1624,0.275,0.24513546798029556,0.29310344827586204,0.26292664158168677,0.2564575645756457,0.2692118226600985
1949,0.2746023601847101,0.2619291944586968,0.292252437147255,0.2651382400523513,0.2519704433497537,0.2768135107459449
2274,0.26824978012313105,0.26138962181178543,0.2784080914687775,0.26365949866395216,0.2461822660098522,0.2744737607474597
2599,0.25971527510580994,0.2504040015390535,0.26648711042708734,0.25651936814934656,0.22644602184938106,0.2723574427862505
2924,0.277359781121751,0.25622435020519835,0.32140902872777016,0.2732687425396421,0.2499709159653173,0.30624625088615415
3249,0.2489996922129886,0.22379193598030164,0.2988304093567251,0.24739425226764586,0.20369458128078818,0.32656826568265684
