train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
364,0.033516483516483515,0.0,0.1508241758241758,0.03029637760702525,0.0,0.1363336992316136
728,0.24532967032967035,0.24175824175824176,0.25782967032967036,0.22148659244158697,0.20813186813186815,0.23821582369332095
1092,0.26996336996337,0.23058608058608057,0.2893772893772894,0.2526990024245787,0.22329935706445037,0.26483516483516484
1456,0.27664835164835166,0.2578296703296703,0.28846153846153844,0.26346389066476883,0.2413017937057454,0.2775824175824176
1820,0.2682417582417583,0.23126373626373625,0.29010989010989013,0.2570897817879157,0.24283808397968662,0.2703296703296703
2184,0.27554945054945057,0.26144688644688646,0.30155677655677654,0.26038214255557834,0.2287912087912088,0.2823076923076923
2548,0.28296703296703296,0.2578492935635793,0.33657770800627945,0.27049492768482886,0.21271999131494193,0.3256043956043956
2912,0.23695054945054944,0.2196771978021978,0.2669642857142857,0.22368053461357523,0.1889010989010989,0.25139757059625334
3276,0.20897435897435898,0.1988095238095238,0.21794871794871795,0.20215244689448858,0.17887842124944212,0.21450549450549453
3640,0.17994505494505494,0.1570054945054945,0.19241758241758242,0.187209563213954,0.15868131868131868,0.19668170468390006
