train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
153,-0.12370952684675966,-0.1251475328215381,-0.11867650593503508,-0.41169663283430397,-0.4232312622312161,-0.394435233780889
306,-0.11427534282014278,-0.11550121385925281,-0.11392509395182564,-0.4118785125317704,-0.42281009970590333,-0.39656888130481194
459,-0.11585456018387277,-0.11657353437672509,-0.11423620473493548,-0.40745060273055245,-0.4173131367037899,-0.3924658365216294
612,-0.11486617180064138,-0.1202699690114794,-0.11199955309223324,-0.40365101470354137,-0.42386357149177056,-0.37890747344603937
766,-0.11883553869959707,-0.1218716648649595,-0.11773381340331547,-0.4058702488655369,-0.42388522089488845,-0.3948028942918725
919,-0.11863654646971963,-0.12183872728752339,-0.11514548855687047,-0.4115843195189539,-0.4219948010216817,-0.4021007764478668
1072,-0.11898879978306447,-0.12140400302383113,-0.11609990271812062,-0.40944995231877107,-0.433514748881592,-0.39962256767867493
1225,-0.11836739847878779,-0.11960976478470609,-0.11551143136922755,-0.4107169555815814,-0.4212086662542403,-0.39834483352337957
1378,-0.118299594381253,-0.12155759556091987,-0.11540437276665591,-0.41316654191272495,-0.4276533016261131,-0.40236184526706203
1532,-0.1173022672911499,-0.11887800881220555,-0.11414975279216417,-0.40288929071855345,-0.41941604217443884,-0.3933096075556104
