Shots on Goal (home),Shots off Goal (home),Total Shots (home),Blocked Shots (home),Shots insidebox (home),Shots outsidebox (home),Fouls (home),Corner Kicks (home),Offsides (home),Ball Possession (home),Yellow Cards (home),Red Cards (home),Goalkeeper Saves (home),Total passes (home),Passes accurate (home),Passes % (home),Shots on Goal (away),Shots off Goal (away),Total Shots (away),Blocked Shots (away),Shots insidebox (away),Shots outsidebox (away),Fouls (away),Corner Kicks (away),Offsides (away),Ball Possession (away),Yellow Cards (away),Red Cards (away),Goalkeeper Saves (away),Total passes (away),Passes accurate (away),Passes % (away)
4,4,12,4,8,4,3,3,4,0.43,0,0,4,374,292,0.78,11,6,20,3,14,6,7,14,2,0.51,1,0,4,416,331,0.8
2,6,14,6,7,7,11,7,2,0.66,1,0,1,573,487,0.85,1,7,14,6,7,7,8,4,0,0.72,1,0,1,626,520,0.83
4,8,18,6,10,8,15,11,0,0.69,3,0,1,593,492,0.83,5,6,12,1,5,8,9,12,8,0.68,2,0,3,692,598,0.86
0,3,4,1,1,3,15,4,2,0.6,3,0,3,524,430,0.82,7,5,17,5,12,5,13,6,0,0.47,2,0,2,477,388,0.81
2,3,6,1,2,4,15,3,1,0.48,3,0,4,397,282,0.71,6,8,19,5,8,11,10,7,2,0.69,1,0,1,643,556,0.86
1,1,3,1,2,1,8,4,1,0.31,1,1,6,288,199,0.69,6,2,10,2,8,2,5,11,1,0.45,2,0,3,365,300,0.82
1,2,6,3,5,1,13,2,1,0.31,3,0,3,264,157,0.59,0,4,8,4,4,4,17,3,3,0.45,2,0,4,385,274,0.71
4,4,12,4,8,4,9,7,2,0.53,2,0,3,509,427,0.84,3,3,8,2,3,5,10,4,2,0.34,3,1,2,300,206,0.69
3,5,9,1,6,3,14,4,1,0.55,2,0,4,455,389,0.85,3,5,15,7,8,7,9,8,1,0.4,2,0,0,346,257,0.74
4,4,10,2,4,6,11,5,6,0.52,3,0,1,416,302,0.73,10,7,21,4,11,10,4,4,2,0.68,0,0,2,601,540,0.9
2,5,7,0,3,4,15,4,6,0.36,3,0,1,311,213,0.68,3,2,7,2,7,0,13,1,6,0.32,4,0,5,317,222,0.7
5,7,18,6,11,7,8,8,0,0.59,0,0,1,628,547,0.87,6,3,12,3,7,5,16,3,1,0.55,1,0,0,471,369,0.78
3,3,7,1,5,2,10,3,3,0.28,2,0,0,234,140,0.6,14,1,24,9,16,8,8,13,3,0.68,0,0,1,655,582,0.89
4,4,12,4,7,5,16,4,0,0.65,2,0,4,584,492,0.84,2,2,6,2,5,1,16,5,0,0.43,2,0,2,311,198,0.64
2,3,5,0,1,4,14,3,2,0.32,4,1,6,276,215,0.78,4,6,14,4,7,7,14,7,2,0.47,1,0,1,367,285,0.78
0,4,5,1,3,2,20,3,1,0.54,3,0,1,479,379,0.79,1,4,8,3,5,3,9,4,0,0.41,3,0,2,434,344,0.79
2,9,15,4,7,8,9,4,2,0.64,1,0,2,566,464,0.82,4,6,15,5,11,4,10,8,0,0.57,0,0,0,420,309,0.74
6,4,13,3,7,6,14,7,0,0.37,0,0,5,301,197,0.65,3,6,9,0,4,5,16,1,1,0.46,3,0,0,416,320,0.77
1,3,5,1,3,2,10,1,2,0.32,1,0,10,297,219,0.74,5,6,13,2,9,4,11,2,3,0.35,2,0,2,308,216,0.7
3,6,14,5,10,4,5,7,3,0.56,2,0,1,436,330,0.76,7,6,15,2,5,10,8,6,4,0.53,0,0,4,446,347,0.78
4,5,13,4,9,4,13,2,2,0.47,0,0,6,381,291,0.76,4,6,14,4,10,4,12,3,4,0.44,0,0,2,359,264,0.74
3,2,7,2,4,3,10,1,0,0.53,2,1,2,416,322,0.77,7,9,29,13,17,13,15,6,3,0.63,2,0,3,529,446,0.84
5,5,13,3,8,5,9,4,2,0.57,0,0,2,451,372,0.82,3,6,11,2,8,3,10,8,2,0.73,1,0,3,628,529,0.84
9,5,18,4,6,12,20,5,2,0.71,5,0,4,582,506,0.87,5,7,15,3,11,5,11,4,1,0.49,3,0,1,524,457,0.87
6,7,17,4,11,6,12,7,1,0.41,2,0,2,383,280,0.73,4,6,15,5,9,6,11,8,2,0.56,2,0,3,486,380,0.78
3,3,10,4,6,4,12,3,0,0.59,2,0,6,549,448,0.82,7,10,23,6,16,8,6,7,1,0.67,0,0,0,713,644,0.9
6,7,17,4,13,4,11,5,5,0.27,0,0,3,233,151,0.65,4,1,6,1,4,2,15,6,0,0.4,2,0,3,382,279,0.73
7,1,12,4,7,5,8,4,0,0.6,2,0,2,594,479,0.81,2,5,7,0,5,2,12,3,2,0.43,3,0,3,340,259,0.76
4,4,9,1,6,3,7,5,7,0.44,0,0,2,380,281,0.74,1,4,7,2,5,2,8,3,2,0.33,2,0,6,340,257,0.76
4,3,9,2,3,6,14,4,2,0.29,1,1,6,237,158,0.67,6,5,14,3,7,7,12,4,2,0.46,5,0,1,361,267,0.74
2,4,8,2,4,4,12,5,1,0.42,1,0,2,343,276,0.8,1,3,5,1,4,1,12,3,0,0.54,1,0,5,413,321,0.78
6,5,19,8,8,11,12,7,1,0.58,0,0,2,501,436,0.87,1,5,11,5,2,9,7,4,0,0.51,2,0,3,540,466,0.86
3,6,17,8,11,6,11,11,1,0.39,1,0,4,252,167,0.66,8,7,21,6,13,8,11,5,2,0.65,2,0,2,680,596,0.88
4,2,11,5,6,5,18,5,3,0.39,4,1,2,370,283,0.76,8,5,19,6,11,8,12,5,1,0.54,0,0,4,400,312,0.78
3,8,15,4,9,6,13,6,3,0.46,1,0,6,328,223,0.68,3,8,18,7,10,8,10,6,3,0.61,1,0,3,576,494,0.86
2,4,8,2,6,2,8,2,0,0.34,1,0,6,302,213,0.71,4,3,10,3,6,4,10,2,1,0.39,1,0,6,399,307,0.77
7,6,17,4,11,6,14,9,0,0.61,3,0,2,616,541,0.88,5,7,17,5,15,2,13,8,1,0.47,2,0,2,400,307,0.77
4,4,12,4,7,5,12,4,1,0.53,1,0,1,433,326,0.75,3,1,7,3,4,3,9,3,4,0.48,3,0,2,372,242,0.65
2,7,15,6,8,7,16,5,3,0.52,2,0,2,400,275,0.69,8,9,20,3,9,11,11,7,2,0.66,1,0,0,588,494,0.84
2,10,18,6,11,7,14,6,0,0.45,4,0,0,335,258,0.77,9,12,25,4,19,6,16,11,1,0.61,2,0,2,401,330,0.82
2,4,7,1,2,5,5,0,3,0.35,2,0,5,347,266,0.77,1,2,4,1,3,1,7,5,3,0.28,1,0,5,246,170,0.69
8,5,18,5,11,7,8,7,4,0.72,1,0,0,642,558,0.87,2,3,9,4,6,3,11,5,1,0.55,3,1,2,441,373,0.85
11,5,24,8,16,8,12,9,4,0.72,3,0,1,608,528,0.87,5,6,14,3,9,5,15,8,6,0.56,2,0,1,506,398,0.79
6,1,10,3,6,4,17,2,1,0.51,1,0,3,472,368,0.78,3,7,12,2,8,4,8,3,1,0.39,0,0,4,347,261,0.75
3,5,8,0,6,2,8,3,5,0.44,3,0,3,405,306,0.76,4,7,12,1,8,4,9,5,1,0.55,2,0,1,454,357,0.79
3,3,7,1,6,1,16,5,2,0.45,2,0,3,385,259,0.67,1,4,8,3,6,2,16,3,0,0.45,3,0,3,358,259,0.72
4,8,14,2,10,4,14,6,4,0.61,1,0,2,554,459,0.83,3,5,8,0,6,2,14,3,2,0.28,2,0,10,229,162,0.71
3,6,15,6,6,9,9,11,1,0.55,2,0,1,420,334,0.8,7,6,19,6,10,9,6,7,1,0.61,0,0,2,573,467,0.82
3,8,18,7,9,9,15,6,0,0.74,3,0,1,761,672,0.88,4,3,9,2,5,4,10,3,1,0.49,3,0,2,429,312,0.73
2,6,13,5,5,8,9,3,5,0.39,2,0,5,361,248,0.69,2,5,10,3,9,1,11,4,4,0.52,4,0,8,418,310,0.74
10,7,23,6,12,11,7,10,1,0.48,1,0,2,394,277,0.7,3,2,11,6,3,8,8,9,0,0.44,3,0,9,302,208,0.69
10,5,23,8,15,8,12,13,1,0.56,1,0,3,387,318,0.82,1,1,3,1,1,2,13,1,0,0.26,3,0,3,261,166,0.64
2,4,11,5,6,5,6,5,1,0.77,0,0,4,752,659,0.88,3,8,13,2,12,1,14,9,6,0.59,3,0,3,563,489,0.87
1,5,10,4,4,6,9,4,1,0.53,2,0,5,476,374,0.79,3,4,10,3,9,1,9,8,0,0.63,1,0,3,555,460,0.83
3,4,8,1,5,3,13,1,7,0.5,3,0,4,443,332,0.75,6,4,12,2,6,7,10,2,2,0.47,0,0,1,449,359,0.8
3,7,16,6,9,7,7,5,1,0.56,1,0,5,384,272,0.71,6,2,12,4,7,5,12,5,2,0.5,3,0,2,456,341,0.75
7,5,20,8,13,7,11,11,2,0.64,2,0,0,522,439,0.84,0,5,7,2,6,2,8,3,1,0.43,0,0,2,284,187,0.66
0,4,6,2,4,2,7,8,0,0.49,0,1,4,425,316,0.74,7,8,20,5,12,8,10,6,2,0.58,0,0,2,478,394,0.82
5,4,11,2,8,3,14,5,0,0.42,1,0,4,354,234,0.66,1,2,5,2,5,0,16,5,3,0.36,6,1,5,290,194,0.67
6,4,14,4,9,5,8,3,1,0.37,1,0,2,326,239,0.73,8,3,12,1,11,1,5,4,2,0.23,1,0,1,221,130,0.59
2,4,6,0,2,4,15,2,1,0.57,2,0,0,394,272,0.69,5,7,14,2,7,7,14,3,0,0.44,3,0,3,297,186,0.63
4,5,13,4,13,0,7,8,2,0.41,3,0,2,383,299,0.78,8,4,14,2,12,2,9,5,4,0.51,2,0,0,469,377,0.8
1,7,12,4,5,7,8,8,1,0.65,1,0,2,621,515,0.83,3,2,10,5,6,4,12,11,3,0.63,2,0,0,558,423,0.76
7,5,20,8,11,9,9,7,2,0.51,1,0,2,462,367,0.79,11,4,20,5,12,8,9,5,2,0.63,2,0,1,446,338,0.76
2,3,8,3,4,4,20,1,4,0.46,2,0,5,369,277,0.75,5,3,12,4,8,4,9,7,4,0.66,1,0,0,677,612,0.9
9,8,22,5,17,5,20,5,0,0.51,4,0,5,358,270,0.75,3,5,11,3,9,2,5,7,3,0.51,1,0,4,377,283,0.75
4,4,16,8,10,6,14,5,1,0.51,2,0,1,402,315,0.78,4,7,16,5,11,5,16,6,2,0.37,3,0,7,258,156,0.6
5,6,16,5,8,8,8,4,0,0.62,1,0,2,605,489,0.81,7,3,15,5,8,7,14,2,7,0.49,3,0,2,376,291,0.77
2,2,5,1,5,0,11,1,1,0.35,3,0,1,331,228,0.69,4,3,9,2,8,1,8,4,1,0.49,1,0,0,530,445,0.84
3,5,11,3,7,4,11,6,4,0.29,1,0,5,287,200,0.7,1,8,11,2,6,5,16,1,3,0.37,2,0,1,309,194,0.63
7,4,16,5,9,7,15,6,0,0.49,2,0,6,340,257,0.76,5,9,17,3,9,9,12,10,1,0.49,1,0,3,396,285,0.72
2,1,5,2,1,4,12,6,0,0.38,2,0,2,352,248,0.7,3,2,7,2,5,2,15,3,3,0.47,2,0,4,405,313,0.77
7,5,18,6,11,7,8,9,5,0.53,1,0,2,456,343,0.75,4,2,6,0,4,2,13,2,1,0.29,2,0,5,248,162,0.65
0,3,7,4,7,1,8,1,2,0.34,0,0,2,342,268,0.78,2,6,11,3,5,6,8,6,1,0.51,0,0,2,554,463,0.84
4,1,8,3,4,4,14,2,4,0.49,2,0,4,440,328,0.75,1,7,13,5,8,5,11,7,1,0.32,3,0,2,285,192,0.67
4,5,10,1,6,4,13,4,0,0.51,1,0,3,410,314,0.77,9,11,24,4,16,8,7,9,1,0.71,2,0,2,580,496,0.86
7,5,14,2,8,6,4,4,3,0.71,0,0,3,718,642,0.89,8,5,13,0,11,2,16,6,1,0.54,1,0,2,435,340,0.78
8,6,20,6,16,4,12,10,2,0.54,1,0,2,401,329,0.82,4,4,17,9,11,6,5,7,8,0.54,0,0,4,525,438,0.83
4,1,6,1,4,2,9,4,4,0.46,0,0,4,346,243,0.7,5,10,18,3,11,7,19,4,2,0.5,3,0,0,496,400,0.81
5,7,18,6,7,11,6,8,1,0.62,2,0,5,551,493,0.89,8,4,15,3,10,5,7,4,1,0.45,0,0,3,382,301,0.79
3,3,7,1,4,3,14,5,0,0.68,1,0,0,612,516,0.84,7,7,16,2,12,5,12,5,0,0.59,0,0,2,609,539,0.89
6,10,20,4,9,11,11,7,1,0.54,1,0,2,401,309,0.77,5,12,19,2,10,9,7,2,2,0.49,1,0,3,396,329,0.83
