Shots on Goal (home),Shots off Goal (home),Total Shots (home),Blocked Shots (home),Shots insidebox (home),Shots outsidebox (home),Fouls (home),Corner Kicks (home),Offsides (home),Ball Possession (home),Yellow Cards (home),Red Cards (home),Goalkeeper Saves (home),Total passes (home),Passes accurate (home),Passes % (home),Shots on Goal (away),Shots off Goal (away),Total Shots (away),Blocked Shots (away),Shots insidebox (away),Shots outsidebox (away),Fouls (away),Corner Kicks (away),Offsides (away),Ball Possession (away),Yellow Cards (away),Red Cards (away),Goalkeeper Saves (away),Total passes (away),Passes accurate (away),Passes % (away)
3,5,15,7,6,9,0,8,1,0.67,1,0,0,625,528,0.84,1,2,7,4,3,4,0,5,1,0.54,2,1,1,503,364,0.72
2,4,12,6,8,4,0,6,0,0.47,2,0,0,387,284,0.73,5,11,22,6,16,6,13,10,1,0.59,3,0,3,534,429,0.8
6,3,13,4,9,4,14,9,2,0.41,5,0,3,364,263,0.72,4,7,13,2,7,6,0,10,0,0.55,1,0,2,428,325,0.76
0,2,2,0,2,0,0,5,5,0.38,1,0,4,338,253,0.75,3,16,26,7,21,5,9,11,2,0.54,1,0,3,454,372,0.82
1,4,7,2,4,3,0,3,2,0.5,2,0,0,363,231,0.64,8,7,17,2,9,8,0,2,1,0.59,4,0,3,434,341,0.79
6,2,9,1,3,6,0,2,4,0.48,1,0,3,432,315,0.73,1,6,10,3,3,7,0,4,3,0.53,3,0,2,466,389,0.83
3,4,11,4,9,2,0,5,3,0.46,0,0,2,449,360,0.8,4,4,9,1,6,3,0,9,2,0.52,3,0,4,454,327,0.72
4,7,14,3,7,7,0,5,1,0.41,1,0,6,299,198,0.66,0,6,10,4,5,5,0,4,4,0.5,1,0,0,361,223,0.62
8,3,17,6,10,7,0,5,2,0.51,3,0,2,485,385,0.79,8,8,17,1,9,8,0,4,3,0.62,0,0,0,601,520,0.87
3,3,8,2,6,2,0,7,0,0.45,1,0,4,346,233,0.67,5,6,16,5,9,7,0,3,3,0.49,1,0,6,466,379,0.81
4,0,5,1,3,2,12,5,1,0.46,1,0,3,398,299,0.75,2,5,8,1,5,3,0,7,1,0.54,0,0,1,506,397,0.78
