score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1),score.fulltime.home (home 2),score.fulltime.away (home 2),Shots on Goal (home 2),Shots off Goal (home 2),Total Shots (home 2),Blocked Shots (home 2),Shots insidebox (home 2),Shots outsidebox (home 2),Fouls (home 2),Corner Kicks (home 2),Offsides (home 2),Ball Possession (home 2),Yellow Cards (home 2),Red Cards (home 2),Goalkeeper Saves (home 2),Total passes (home 2),Passes accurate (home 2),Passes % (home 2),score.fulltime.home (away 2),score.fulltime.away (away 2),Shots on Goal (away 2),Shots off Goal (away 2),Total Shots (away 2),Blocked Shots (away 2),Shots insidebox (away 2),Shots outsidebox (away 2),Fouls (away 2),Corner Kicks (away 2),Offsides (away 2),Ball Possession (away 2),Yellow Cards (away 2),Red Cards (away 2),Goalkeeper Saves (away 2),Total passes (away 2),Passes accurate (away 2),Passes % (away 2),score.fulltime.home (h2h 2),score.fulltime.away (h2h 2),Shots on Goal (h2h - home 2),Shots off Goal (h2h - home 2),Total Shots (h2h - home 2),Blocked Shots (h2h - home 2),Shots insidebox (h2h - home 2),Shots outsidebox (h2h - home 2),Fouls (h2h - home 2),Corner Kicks (h2h - home 2),Offsides (h2h - home 2),Ball Possession (h2h - home 2),Yellow Cards (h2h - home 2),Red Cards (h2h - home 2),Goalkeeper Saves (h2h - home 2),Total passes (h2h - home 2),Passes accurate (h2h - home 2),Passes % (h2h - home 2),Shots on Goal (h2h - away 2),Shots off Goal (h2h - away 2),Total Shots (h2h - away 2),Blocked Shots (h2h - away 2),Shots insidebox (h2h - away 2),Shots outsidebox (h2h - away 2),Fouls (h2h - away 2),Corner Kicks (h2h - away 2),Offsides (h2h - away 2),Ball Possession (h2h - away 2),Yellow Cards (h2h - away 2),Red Cards (h2h - away 2),Goalkeeper Saves (h2h - away 2),Total passes (h2h - away 2),Passes accurate (h2h - away 2),Passes % (h2h - away 2)
2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,0,0,0,10,15,5,7,8,16,9,1,0.69,2,0,1,676,595,0.88,2,1,3,3,8,2,5,3,11,3,0,0.59,0,0,3,586,490,0.84,5,3,10,2,5,5,12,1,0,0.41,3,0,2,425,339,0.8,3,4,5,3,11,3,7,4,16,6,2,0.56,2,0,1,527,444,0.84,0,2,3,10,15,2,8,7,13,2,2,0.57,0,0,1,549,444,0.81,5,1,6,7,15,2,12,3,10,5,0,0.39,5,1,3,301,208,0.69,4,3,9,2,6,3,15,6,1,0.61,1,0,1,466,378,0.81
1,2,11,10,23,2,14,9,9,8,4,0.74,1,0,5,708,618,0.87,2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,6,0,7,11,18,0,13,5,4,11,2,0.74,1,0,0,681,602,0.88,0,0,1,1,0,1,9,1,0,0.26,2,0,2,229,144,0.63,0,4,5,8,17,4,14,3,6,6,6,0.71,1,0,1,692,621,0.9,3,0,4,6,14,4,7,7,6,7,5,0.65,0,0,7,522,416,0.8,0,1,4,9,21,8,11,10,9,7,3,0.76,2,0,3,720,626,0.87,3,0,6,3,1,5,9,7,1,0.24,1,1,3,229,136,0.59
2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,2,1,3,8,14,3,8,6,9,7,2,0.47,1,0,5,382,326,0.85,1,2,5,6,13,2,7,6,0,4,1,0.31,5,0,4,248,132,0.53,5,7,13,1,7,6,0,6,3,0.69,2,0,3,558,445,0.8,0,2,2,9,12,1,9,3,17,4,5,0.61,3,0,2,467,377,0.81,3,0,6,7,18,5,10,8,15,5,0,0.57,0,0,1,535,459,0.86,2,2,4,4,11,3,9,2,0,5,0,0.39,1,0,5,240,125,0.52,5,6,13,2,8,6,0,9,1,0.61,2,0,2,361,245,0.68
1,2,5,6,18,7,10,8,12,1,1,0.49,3,0,3,466,356,0.76,2,1,8,2,17,7,12,5,12,7,4,0.55,1,0,6,483,368,0.76,1,2,5,6,18,7,10,8,12,1,1,0.49,3,0,3,466,356,0.76,5,4,11,2,5,6,16,3,6,0.51,2,0,4,478,385,0.81,3,1,7,5,16,4,9,7,13,8,0,0.46,4,0,4,382,283,0.74,1,2,5,4,11,2,5,6,16,3,6,0.51,2,0,4,478,385,0.81,4,2,7,7,20,6,9,11,18,4,2,0.56,2,0,6,423,322,0.76,8,5,14,1,12,2,10,5,3,0.44,1,0,3,333,219,0.66
1,1,4,5,11,2,6,5,17,8,1,0.45,3,1,5,341,259,0.76,1,2,3,5,13,5,9,4,14,2,4,0.48,3,0,3,500,407,0.81,4,0,5,9,14,0,7,7,9,3,3,0.52,0,0,1,423,340,0.8,1,3,5,1,3,2,19,3,2,0.48,2,1,1,387,311,0.8,4,0,5,9,14,0,7,7,9,3,3,0.52,0,0,1,423,340,0.8,4,0,1,3,5,1,3,2,19,3,2,0.48,2,1,1,387,311,0.8,3,4,3,0,5,2,4,1,12,1,3,0.39,0,0,4,376,290,0.77,8,8,24,8,18,6,6,9,0,0.61,1,0,0,563,489,0.87
1,2,7,2,11,2,5,6,16,2,4,0.26,3,1,10,241,161,0.67,1,1,6,6,12,0,12,0,12,2,2,0.51,2,0,2,504,403,0.8,0,0,2,11,20,7,13,7,9,19,4,0.75,2,0,1,632,547,0.87,1,4,6,1,5,1,12,0,4,0.25,2,0,2,219,137,0.63,1,1,9,7,27,11,16,11,10,13,3,0.71,0,0,1,684,583,0.85,1,5,8,7,20,5,12,8,12,14,1,0.63,1,0,1,534,454,0.85,4,1,5,5,18,8,13,5,6,7,4,0.65,2,0,1,631,546,0.87,4,7,12,1,9,3,9,4,2,0.35,2,0,4,346,264,0.76
1,5,5,6,12,1,11,1,14,3,2,0.37,3,1,8,306,229,0.75,1,1,8,5,18,5,11,7,9,6,0,0.5,1,0,2,422,315,0.75,2,1,2,6,11,3,7,4,26,4,3,0.56,3,0,3,350,261,0.75,5,4,12,3,6,6,25,4,3,0.44,4,0,1,278,170,0.61,2,3,5,6,16,5,8,8,16,3,5,0.55,1,0,2,463,359,0.78,1,1,9,10,23,4,16,7,27,3,3,0.46,3,0,3,307,199,0.65,2,0,8,9,17,0,7,10,14,5,3,0.54,1,0,1,438,302,0.69,2,1,5,2,4,1,9,0,2,0.46,2,1,6,367,222,0.6
0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,1,2,8,6,19,5,8,11,14,4,0,0.48,2,0,2,432,357,0.83,3,4,11,4,7,4,12,3,2,0.52,3,0,6,476,394,0.83,1,0,3,5,12,4,7,5,8,8,1,0.49,2,0,0,442,338,0.76,0,3,4,4,10,2,7,3,8,1,0,0.53,1,0,3,551,486,0.88,1,1,4,2,11,5,7,4,14,7,1,0.52,4,1,1,452,365,0.81,2,4,9,3,6,3,16,4,2,0.48,3,0,3,421,327,0.78
1,2,5,1,7,1,5,2,10,2,0,0.52,2,1,2,543,445,0.82,2,0,2,7,13,4,7,6,7,6,2,0.63,1,0,4,612,486,0.79,1,0,7,4,16,5,14,2,13,10,4,0.54,1,0,2,484,387,0.8,3,7,14,4,11,3,16,8,1,0.46,2,0,6,403,307,0.76,3,3,7,8,17,2,14,3,9,10,4,0.67,3,0,1,723,631,0.87,3,1,7,6,17,4,10,7,18,3,4,0.54,5,1,6,456,367,0.8,0,2,3,7,12,2,9,3,6,2,0,0.71,1,0,0,874,809,0.93,0,6,7,1,5,2,9,2,2,0.29,1,0,1,362,301,0.83
0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,2,1,7,8,16,1,7,9,18,2,1,0.66,3,1,2,611,523,0.86,3,6,10,1,6,4,16,1,1,0.34,2,1,6,293,212,0.72,0,0,1,8,10,1,6,4,11,4,0,0.48,4,0,3,485,395,0.81,4,2,11,9,24,4,20,4,12,9,1,0.59,3,0,3,463,393,0.85,5,0,9,5,16,2,8,8,9,2,0,0.54,2,0,1,507,448,0.88,1,5,11,5,8,3,10,7,0,0.46,3,0,4,416,350,0.84
