score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1),score.fulltime.home (home 2),score.fulltime.away (home 2),Shots on Goal (home 2),Shots off Goal (home 2),Total Shots (home 2),Blocked Shots (home 2),Shots insidebox (home 2),Shots outsidebox (home 2),Fouls (home 2),Corner Kicks (home 2),Offsides (home 2),Ball Possession (home 2),Yellow Cards (home 2),Red Cards (home 2),Goalkeeper Saves (home 2),Total passes (home 2),Passes accurate (home 2),Passes % (home 2),score.fulltime.home (away 2),score.fulltime.away (away 2),Shots on Goal (away 2),Shots off Goal (away 2),Total Shots (away 2),Blocked Shots (away 2),Shots insidebox (away 2),Shots outsidebox (away 2),Fouls (away 2),Corner Kicks (away 2),Offsides (away 2),Ball Possession (away 2),Yellow Cards (away 2),Red Cards (away 2),Goalkeeper Saves (away 2),Total passes (away 2),Passes accurate (away 2),Passes % (away 2),score.fulltime.home (h2h 2),score.fulltime.away (h2h 2),Shots on Goal (h2h - home 2),Shots off Goal (h2h - home 2),Total Shots (h2h - home 2),Blocked Shots (h2h - home 2),Shots insidebox (h2h - home 2),Shots outsidebox (h2h - home 2),Fouls (h2h - home 2),Corner Kicks (h2h - home 2),Offsides (h2h - home 2),Ball Possession (h2h - home 2),Yellow Cards (h2h - home 2),Red Cards (h2h - home 2),Goalkeeper Saves (h2h - home 2),Total passes (h2h - home 2),Passes accurate (h2h - home 2),Passes % (h2h - home 2),Shots on Goal (h2h - away 2),Shots off Goal (h2h - away 2),Total Shots (h2h - away 2),Blocked Shots (h2h - away 2),Shots insidebox (h2h - away 2),Shots outsidebox (h2h - away 2),Fouls (h2h - away 2),Corner Kicks (h2h - away 2),Offsides (h2h - away 2),Ball Possession (h2h - away 2),Yellow Cards (h2h - away 2),Red Cards (h2h - away 2),Goalkeeper Saves (h2h - away 2),Total passes (h2h - away 2),Passes accurate (h2h - away 2),Passes % (h2h - away 2)
3,1,5,3,12,4,8,4,14,4,1,0.59,2,1,4,506,432,0.85,3,1,2,3,8,3,4,4,8,3,0,0.45,3,0,6,408,305,0.75,3,1,8,5,14,1,10,4,0,5,6,0.46,1,0,3,404,324,0.8,4,12,22,6,7,15,0,9,1,0.54,1,0,6,468,383,0.82,3,4,9,3,13,1,8,5,8,6,4,0.61,3,0,5,472,346,0.73,2,1,5,4,11,2,4,7,8,4,1,0.55,1,0,4,570,464,0.81,1,1,3,3,8,2,5,3,0,4,2,0.46,3,0,3,346,257,0.74,4,7,14,3,5,9,0,5,1,0.54,3,0,2,404,313,0.77
2,3,2,4,6,0,2,4,8,0,1,0.27,2,0,8,261,199,0.76,2,3,10,13,27,4,17,10,9,8,3,0.73,0,0,0,679,617,0.91,2,3,2,4,6,0,2,4,8,0,1,0.27,2,0,8,261,199,0.76,10,13,27,4,17,10,9,8,3,0.73,0,0,0,679,617,0.91,1,0,5,1,8,2,3,5,13,2,1,0.23,1,0,1,221,140,0.63,2,1,13,11,26,2,10,16,13,11,1,0.66,0,0,2,593,538,0.91,0,2,1,0,1,0,1,0,9,2,0,0.23,2,2,5,224,158,0.71,7,5,16,4,8,8,11,4,2,0.77,2,0,1,728,660,0.91
0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,1,1,2,2,6,2,2,4,12,2,1,0.51,2,0,6,515,438,0.85,0,1,2,5,7,0,4,3,14,4,0,0.36,3,0,8,300,236,0.79,8,6,21,7,13,8,8,11,1,0.64,2,0,1,551,495,0.9,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,2,1,4,5,10,1,8,2,14,0,2,0.54,3,0,6,587,510,0.87,1,1,4,5,13,4,9,4,22,5,4,0.36,2,0,4,313,239,0.76,5,4,16,7,9,7,11,10,0,0.64,2,0,3,558,479,0.86
0,1,4,6,10,0,6,4,10,6,2,0.42,1,0,4,324,237,0.73,2,1,3,1,9,5,4,5,11,5,2,0.34,2,0,11,284,237,0.83,2,1,2,11,15,2,13,2,20,7,2,0.57,1,0,3,402,290,0.72,5,1,8,2,6,2,11,7,2,0.43,3,0,1,311,203,0.65,1,2,2,1,4,1,3,1,11,3,1,0.41,3,1,1,358,283,0.79,0,1,1,7,11,3,6,5,15,3,0,0.58,2,0,4,434,333,0.77,2,2,5,4,12,3,8,4,11,6,1,0.58,1,0,4,523,437,0.84,6,10,20,4,14,6,15,5,3,0.42,4,1,3,358,276,0.77
2,2,5,10,17,2,9,8,13,5,0,0.56,2,0,2,434,381,0.88,1,2,1,6,10,3,6,4,8,4,4,0.35,0,0,1,403,321,0.8,1,2,3,7,10,0,4,6,9,5,2,0.36,0,0,2,372,269,0.72,4,7,14,3,9,5,7,5,1,0.64,2,0,2,673,566,0.84,1,0,5,8,20,7,11,9,9,10,2,0.39,0,0,5,347,272,0.78,2,3,4,7,14,3,8,7,12,10,2,0.39,5,2,3,330,255,0.77,3,0,4,3,12,5,5,7,5,6,2,0.54,2,0,4,583,482,0.83,7,3,10,0,7,4,8,3,1,0.46,0,0,4,502,410,0.82
0,1,3,6,13,4,8,5,16,7,4,0.4,4,1,4,334,244,0.73,3,1,3,6,9,0,5,4,11,3,0,0.56,4,1,3,483,407,0.84,1,0,2,5,11,4,3,8,12,6,2,0.48,3,0,0,404,312,0.77,2,10,16,4,12,4,11,6,2,0.52,1,0,2,447,358,0.8,1,0,5,2,8,1,5,3,10,2,3,0.61,2,0,4,535,451,0.84,0,2,2,6,11,3,6,5,13,3,0,0.35,2,0,7,408,324,0.79,3,0,6,4,11,1,4,7,5,5,5,0.31,2,1,7,296,218,0.74,7,5,22,10,12,10,13,12,3,0.69,2,0,3,635,562,0.89
1,2,2,9,13,2,6,7,10,7,1,0.59,1,0,0,526,448,0.85,5,1,3,5,10,2,4,6,7,1,3,0.45,1,0,5,459,377,0.82,2,3,3,3,7,1,5,2,8,3,2,0.45,2,1,7,368,270,0.73,10,4,19,5,13,6,16,7,1,0.55,6,0,1,429,344,0.8,1,0,5,6,13,2,7,6,7,3,1,0.44,1,0,2,392,321,0.82,0,1,0,11,14,3,8,6,15,11,1,0.65,3,1,1,453,359,0.79,0,0,3,1,5,1,2,3,10,4,2,0.36,2,0,4,328,229,0.7,4,14,22,4,10,12,12,3,3,0.64,2,0,3,602,523,0.87
1,2,3,5,10,2,6,4,5,7,2,0.65,0,0,0,741,637,0.86,2,0,4,4,9,1,7,2,19,6,5,0.45,3,0,3,407,306,0.75,2,3,6,6,12,0,8,4,16,1,2,0.62,4,0,2,659,545,0.83,4,5,10,1,6,4,25,2,2,0.38,3,0,3,401,291,0.73,2,1,9,8,19,2,8,11,3,6,2,0.7,0,0,3,884,783,0.89,2,1,4,10,17,3,14,3,16,7,2,0.57,4,0,3,514,420,0.82,2,0,10,14,36,12,18,18,7,11,2,0.61,1,0,2,620,551,0.89,2,2,8,4,7,1,9,8,1,0.39,2,0,8,380,299,0.79
2,0,3,4,10,3,4,6,9,6,3,0.32,2,0,6,275,174,0.63,1,0,1,5,7,1,3,4,11,1,4,0.53,1,0,1,476,371,0.78,2,1,5,4,14,5,3,11,15,2,3,0.47,1,0,1,375,280,0.75,2,4,11,5,6,5,18,6,1,0.53,3,0,3,405,305,0.75,1,1,11,9,29,9,20,9,14,12,2,0.53,1,0,1,399,316,0.79,2,4,9,7,21,5,9,12,10,10,1,0.57,4,0,4,441,328,0.74,4,1,8,5,16,3,12,4,13,5,2,0.4,2,0,1,344,279,0.81,1,4,7,2,4,3,16,10,2,0.6,3,0,3,510,439,0.86
3,1,3,3,8,2,4,4,13,3,5,0.38,5,1,1,342,262,0.77,2,1,3,2,5,0,3,2,22,0,2,0.35,5,0,4,270,169,0.63,1,2,3,3,7,1,5,2,11,4,0,0.52,1,0,1,457,368,0.81,2,3,10,5,6,4,21,4,2,0.48,5,0,1,422,311,0.74,0,2,5,5,13,3,9,4,17,2,1,0.4,2,0,5,396,296,0.75,0,0,1,4,7,2,4,3,20,5,2,0.47,2,0,4,325,225,0.69,0,1,2,11,15,2,12,3,0,6,1,0.63,0,0,2,466,368,0.79,3,4,7,0,4,3,0,3,2,0.37,2,0,2,284,177,0.62
1,3,6,2,10,2,8,2,7,6,1,0.55,1,0,2,472,371,0.79,1,0,2,7,11,2,8,3,13,6,3,0.49,0,0,1,476,385,0.81,0,1,3,2,6,1,3,3,19,3,1,0.41,2,0,2,372,274,0.74,2,9,14,3,8,6,18,7,3,0.59,2,0,2,519,406,0.78,0,1,2,8,11,1,8,3,8,8,2,0.43,3,0,2,443,374,0.84,1,0,2,5,10,3,3,7,19,4,0,0.5,3,0,1,460,378,0.82,1,0,2,7,13,4,5,8,13,8,1,0.52,3,0,4,412,330,0.8,5,6,12,1,6,6,11,2,2,0.48,0,0,2,392,289,0.74
2,0,8,6,18,4,11,7,7,12,3,0.68,2,0,3,577,497,0.86,2,1,3,6,11,2,7,4,8,0,5,0.48,0,0,4,552,461,0.84,1,2,4,10,20,6,12,8,9,9,2,0.64,2,0,3,691,605,0.88,5,1,8,2,7,1,12,3,1,0.36,0,0,3,394,295,0.75,1,3,10,9,22,3,14,8,8,8,1,0.65,3,0,4,602,506,0.84,0,2,4,2,7,1,3,4,14,1,1,0.51,6,0,2,399,280,0.7,1,3,9,5,21,7,16,5,9,6,1,0.57,2,0,4,569,495,0.87,5,4,13,4,7,6,14,2,1,0.43,3,0,6,432,350,0.81
3,1,4,3,9,2,6,3,17,6,5,0.62,1,0,2,592,511,0.86,0,2,3,0,3,0,2,1,14,0,3,0.48,1,0,0,380,227,0.6,3,3,8,3,17,6,8,9,13,8,2,0.75,2,0,3,628,553,0.88,6,3,9,0,8,1,22,1,3,0.25,8,1,5,200,128,0.64,1,1,3,5,9,1,7,2,13,4,0,0.54,2,1,0,548,461,0.84,1,0,5,4,11,2,7,4,12,3,3,0.41,2,0,5,371,262,0.71,2,1,5,4,13,4,8,5,0,7,1,0.58,6,0,1,493,393,0.8,2,0,5,3,4,1,0,3,2,0.42,4,1,3,346,256,0.74
3,0,4,2,7,1,5,2,15,0,3,0.43,2,0,3,409,320,0.78,0,1,3,1,4,0,1,3,18,2,1,0.42,4,0,6,370,248,0.67,0,2,7,2,13,4,6,7,8,5,3,0.6,2,0,2,593,531,0.9,2,5,11,4,7,4,19,4,1,0.4,4,0,5,391,328,0.84,2,1,7,5,14,2,13,1,7,5,9,0.57,2,0,5,523,452,0.86,3,1,8,5,16,3,9,7,18,7,0,0.41,2,0,4,350,276,0.79,6,0,7,7,18,4,10,9,0,3,5,0.67,1,0,5,663,592,0.89,5,6,15,4,11,4,0,1,2,0.33,5,0,2,316,244,0.77
5,1,10,5,17,2,11,6,9,6,3,0.55,2,0,2,566,498,0.88,1,0,3,8,14,3,7,7,11,4,1,0.63,2,0,1,555,483,0.87,0,0,3,7,13,3,7,6,7,7,3,0.44,1,0,2,446,379,0.85,2,8,14,4,7,7,11,4,3,0.56,4,0,3,561,501,0.89,1,1,2,2,5,1,2,3,10,8,1,0.52,6,1,4,454,371,0.82,2,3,6,7,15,2,10,5,13,4,1,0.61,4,0,3,509,437,0.86,3,2,6,10,21,5,12,10,12,7,4,0.6,2,0,3,478,405,0.85,6,5,15,4,10,5,17,2,3,0.4,6,0,5,326,237,0.73
0,1,3,3,7,1,4,3,14,3,3,0.46,2,0,1,447,339,0.76,0,1,3,5,12,4,9,3,15,1,4,0.57,3,0,2,596,523,0.88,1,1,5,5,11,1,9,2,13,9,1,0.31,1,0,3,318,233,0.73,4,6,11,1,10,1,12,10,1,0.69,1,0,4,719,642,0.89,2,3,4,10,18,4,13,5,13,13,0,0.65,3,0,2,525,426,0.81,0,4,5,0,7,2,5,2,9,4,3,0.61,1,0,1,627,565,0.9,0,4,2,8,11,1,9,2,4,5,1,0.33,1,1,7,318,242,0.76,13,7,21,1,17,4,9,2,6,0.67,1,0,2,658,590,0.9
3,1,7,7,20,6,11,9,7,10,3,0.58,2,0,3,405,284,0.7,3,1,9,6,19,4,9,10,12,9,3,0.55,1,0,1,512,432,0.84,2,2,5,9,17,3,12,5,0,5,4,0.52,0,0,1,417,281,0.67,3,1,7,3,4,3,0,4,4,0.48,0,0,3,379,243,0.64,1,1,1,5,7,1,4,3,8,5,2,0.46,1,0,2,452,368,0.81,2,1,5,8,18,5,12,6,12,11,4,0.62,1,0,4,500,414,0.83,1,3,8,4,14,2,7,7,0,4,5,0.37,2,0,1,316,210,0.66,2,4,8,2,4,4,0,5,4,0.63,2,1,6,550,446,0.81
0,0,4,1,8,3,7,1,11,6,4,0.63,3,0,2,654,566,0.87,1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,1,1,4,11,16,1,13,3,10,8,2,0.66,0,0,2,571,482,0.84,3,5,8,0,5,3,14,3,2,0.34,2,0,3,304,214,0.7,1,0,1,3,5,1,4,1,12,7,0,0.63,0,0,2,557,444,0.8,2,0,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76,5,0,7,2,12,3,11,1,16,6,5,0.54,3,0,0,477,402,0.84,0,6,7,1,2,5,11,5,0,0.46,3,0,2,402,315,0.78
1,0,2,5,12,5,9,3,23,4,3,0.37,3,0,3,347,276,0.8,0,1,6,6,17,5,12,5,14,5,1,0.58,3,0,4,447,363,0.81,0,1,3,8,16,5,7,9,14,5,2,0.4,1,0,6,350,258,0.74,6,6,14,2,7,8,8,9,3,0.6,1,0,3,507,430,0.85,0,1,3,8,16,5,7,9,14,5,2,0.4,1,0,6,350,258,0.74,0,1,6,6,14,2,7,8,8,9,3,0.6,1,0,3,507,430,0.85,1,1,5,6,15,4,10,5,14,4,4,0.35,2,0,2,268,177,0.66,3,12,20,5,12,8,14,7,3,0.65,1,0,4,522,424,0.81
1,1,5,6,12,1,6,6,19,7,5,0.61,0,0,5,393,310,0.79,3,1,6,2,12,4,8,4,15,3,2,0.4,3,0,0,392,313,0.8,3,1,5,7,13,1,8,5,6,1,6,0.44,0,0,4,447,357,0.8,7,7,17,3,11,6,4,5,0,0.56,0,0,4,592,515,0.87,1,1,4,3,10,3,5,5,17,5,1,0.53,2,0,5,480,395,0.82,1,0,2,4,9,3,8,1,15,3,1,0.5,2,0,2,466,382,0.82,1,1,1,0,2,1,1,1,17,1,2,0.35,3,1,4,310,227,0.73,5,7,24,12,9,15,11,15,1,0.65,3,2,1,575,496,0.86
4,0,0,6,6,0,1,5,11,4,3,0.42,2,0,5,406,323,0.8,0,1,3,6,13,4,8,5,16,7,4,0.4,4,1,4,334,244,0.73,1,0,7,9,20,4,8,12,0,7,2,0.39,2,0,3,303,214,0.71,3,5,15,7,8,7,0,4,1,0.61,6,1,6,470,383,0.81,4,0,2,5,9,2,4,5,7,0,3,0.25,1,1,8,252,188,0.75,1,0,5,2,8,1,5,3,10,2,3,0.61,2,0,4,535,451,0.84,1,0,6,12,20,2,13,7,0,5,1,0.57,5,0,1,438,328,0.75,2,5,12,5,7,5,0,6,1,0.43,4,0,5,338,245,0.72
1,1,6,8,17,3,11,6,12,5,5,0.68,1,0,4,684,576,0.84,1,3,6,2,10,2,8,2,7,6,1,0.55,1,0,2,472,371,0.79,2,1,4,1,10,5,5,5,17,7,0,0.57,1,0,1,551,460,0.83,2,7,12,3,6,6,6,9,2,0.43,2,0,2,408,325,0.8,1,0,7,4,15,4,11,4,12,6,4,0.46,1,0,1,475,385,0.81,0,1,2,8,11,1,8,3,8,8,2,0.43,3,0,2,443,374,0.84,0,0,3,11,20,6,9,11,19,5,0,0.55,3,0,0,456,372,0.82,0,4,5,1,2,3,12,4,0,0.45,2,0,3,369,288,0.78
2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,0,3,4,5,12,3,9,3,14,6,1,0.43,1,0,10,381,292,0.77,4,0,10,3,15,2,12,3,11,9,8,0.5,1,0,4,415,308,0.74,4,2,8,2,5,3,12,10,1,0.5,1,0,6,405,302,0.75,2,2,9,5,18,4,11,7,17,5,1,0.56,2,0,2,479,407,0.85,1,1,2,3,9,4,5,4,9,1,0,0.39,0,0,2,365,268,0.73,0,1,5,5,11,1,6,5,9,3,4,0.58,2,1,3,618,545,0.88,3,6,14,5,8,6,13,5,1,0.42,2,1,4,441,361,0.82
1,1,5,6,14,3,6,8,11,2,2,0.32,3,0,5,333,238,0.71,0,1,1,1,4,2,3,1,8,6,2,0.54,1,0,2,522,408,0.78,0,0,2,7,10,1,6,4,6,4,3,0.57,2,0,2,540,453,0.84,2,3,6,1,1,5,8,5,0,0.43,1,0,2,394,317,0.8,1,2,2,2,4,0,4,0,15,3,1,0.51,5,0,4,424,314,0.74,0,1,4,4,8,0,5,3,9,1,2,0.35,2,0,2,311,226,0.73,1,0,2,5,7,0,4,3,12,2,0,0.43,2,1,6,401,325,0.81,7,10,20,3,8,12,12,1,2,0.57,4,1,2,544,478,0.88
1,1,2,2,6,2,2,4,12,2,1,0.51,2,0,6,515,438,0.85,2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,0,2,4,6,14,4,9,5,9,5,1,0.63,0,0,5,635,584,0.92,5,8,19,6,15,4,14,7,2,0.37,2,2,2,374,316,0.84,2,1,4,5,10,1,8,2,14,0,2,0.54,3,0,6,587,510,0.87,0,2,2,8,15,5,10,5,13,9,1,0.4,3,0,2,375,296,0.79,3,0,5,7,15,3,11,4,9,12,0,0.6,1,0,0,590,511,0.87,0,4,8,4,4,4,18,4,1,0.4,4,0,3,380,304,0.8
1,2,5,6,12,1,5,7,10,6,1,0.49,0,0,0,408,301,0.74,1,0,2,10,19,7,12,7,12,5,3,0.48,1,0,3,443,329,0.74,3,1,8,5,15,2,9,6,0,4,5,0.56,1,0,1,494,408,0.83,2,0,4,2,2,2,0,1,4,0.44,1,1,5,388,287,0.74,1,1,1,4,8,3,5,3,25,8,2,0.4,1,0,3,313,206,0.66,0,4,1,3,7,3,5,2,9,3,3,0.26,1,0,2,289,206,0.71,1,1,3,6,12,3,8,4,0,2,2,0.46,2,0,5,349,230,0.66,6,12,25,7,16,9,0,5,1,0.54,2,0,2,395,279,0.71
0,0,2,2,5,1,2,3,11,2,1,0.37,3,0,4,379,288,0.76,0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,1,3,7,4,12,1,6,6,18,2,0,0.44,1,1,2,359,261,0.73,3,2,9,4,4,5,14,4,0,0.56,3,0,4,454,357,0.79,2,0,8,7,23,8,16,7,12,11,1,0.6,0,0,1,558,461,0.83,4,0,2,5,7,0,2,5,11,4,0,0.41,1,0,4,327,260,0.8,1,0,4,3,11,4,5,6,13,9,1,0.58,0,0,1,442,339,0.77,1,3,5,1,3,2,20,4,2,0.42,2,0,3,318,234,0.74
2,1,3,1,9,5,4,5,11,5,2,0.34,2,0,11,284,237,0.83,4,0,9,7,17,1,12,5,15,4,6,0.58,0,0,0,573,493,0.86,0,5,0,5,6,1,3,3,11,4,2,0.38,3,0,6,351,276,0.79,11,8,24,5,13,11,13,4,2,0.62,2,0,0,586,514,0.88,0,1,1,7,11,3,6,5,15,3,0,0.58,2,0,4,434,333,0.77,1,0,4,3,12,5,8,4,14,11,2,0.69,1,0,3,596,499,0.84,3,0,3,3,11,5,4,7,14,5,1,0.36,0,0,4,362,275,0.76,7,11,23,5,18,5,7,5,2,0.64,0,0,3,670,591,0.88
5,1,3,5,10,2,4,6,7,1,3,0.45,1,0,5,459,377,0.82,1,2,5,3,10,2,8,2,17,3,6,0.48,3,0,4,402,304,0.76,2,1,5,5,11,1,4,7,0,10,3,0.69,5,0,1,590,499,0.85,2,5,7,0,5,2,0,3,10,0.31,3,0,3,256,164,0.64,0,1,0,11,14,3,8,6,15,11,1,0.65,3,1,1,453,359,0.79,1,3,9,10,26,7,17,9,19,9,0,0.52,5,0,2,385,295,0.77,0,1,2,5,8,1,3,5,0,3,4,0.67,4,0,3,652,569,0.87,3,8,12,1,8,4,0,4,5,0.33,3,0,1,314,240,0.76
1,2,1,6,10,3,6,4,8,4,4,0.35,0,0,1,403,321,0.8,1,2,3,5,10,2,6,4,5,7,2,0.65,0,0,0,741,637,0.86,1,2,1,6,10,3,6,4,8,4,4,0.35,0,0,1,403,321,0.8,3,5,10,2,6,4,5,7,2,0.65,0,0,0,741,637,0.86,2,3,4,7,14,3,8,7,12,10,2,0.39,5,2,3,330,255,0.77,2,1,9,8,19,2,8,11,3,6,2,0.7,0,0,3,884,783,0.89,4,1,1,3,5,1,4,1,10,2,4,0.32,3,0,4,394,306,0.78,7,7,17,3,12,6,5,2,2,0.68,0,0,0,863,759,0.88
2,3,10,13,27,4,17,10,9,8,3,0.73,0,0,0,679,617,0.91,1,2,2,9,13,2,6,7,10,7,1,0.59,1,0,0,526,448,0.85,1,0,5,9,15,1,6,9,23,4,1,0.53,1,0,0,520,427,0.82,0,2,4,2,2,2,17,3,1,0.47,5,0,4,440,343,0.78,2,1,13,11,26,2,10,16,13,11,1,0.66,0,0,2,593,538,0.91,1,0,5,6,13,2,7,6,7,3,1,0.44,1,0,2,392,321,0.82,2,4,7,5,17,5,11,6,8,4,0,0.58,3,0,2,620,544,0.88,3,5,9,1,7,3,13,1,2,0.42,4,0,4,455,392,0.86
2,0,4,4,9,1,7,2,19,6,5,0.45,3,0,3,407,306,0.75,2,2,5,10,17,2,9,8,13,5,0,0.56,2,0,2,434,381,0.88,1,0,1,3,5,1,4,1,18,7,1,0.52,4,0,2,475,377,0.79,2,3,9,4,5,4,17,3,0,0.48,4,0,0,409,316,0.77,2,1,4,10,17,3,14,3,16,7,2,0.57,4,0,3,514,420,0.82,1,0,5,8,20,7,11,9,9,10,2,0.39,0,0,5,347,272,0.78,2,0,4,3,13,6,6,7,19,5,1,0.62,3,1,1,502,416,0.83,3,6,11,2,7,4,15,4,3,0.38,3,0,4,309,222,0.72
3,1,3,6,9,0,5,4,11,3,0,0.56,4,1,3,483,407,0.84,0,1,4,6,10,0,6,4,10,6,2,0.42,1,0,4,324,237,0.73,1,1,3,4,9,2,5,4,15,6,3,0.55,3,0,4,423,341,0.81,5,4,13,4,8,5,19,4,2,0.45,4,1,2,335,248,0.74,0,2,2,6,11,3,6,5,13,3,0,0.35,2,0,7,408,324,0.79,1,2,2,1,4,1,3,1,11,3,1,0.41,3,1,1,358,283,0.79,2,2,5,6,11,0,4,7,15,6,1,0.52,1,0,1,461,380,0.82,3,7,13,3,7,6,14,3,7,0.48,2,0,3,442,352,0.8
2,1,5,2,10,3,7,3,18,0,2,0.43,3,0,3,405,297,0.73,5,1,10,5,17,2,11,6,9,6,3,0.55,2,0,2,566,498,0.88,4,0,2,4,8,2,2,6,14,5,2,0.45,4,1,6,406,334,0.82,10,3,14,1,8,6,10,8,4,0.55,1,0,2,524,445,0.85,2,0,3,6,12,3,5,7,10,2,1,0.5,0,0,2,482,392,0.81,1,1,2,2,5,1,2,3,10,8,1,0.52,6,1,4,454,371,0.82,1,2,7,5,15,3,8,7,23,6,2,0.52,2,0,4,474,393,0.83,6,6,12,0,5,7,14,5,3,0.48,1,0,6,424,351,0.83
1,0,3,8,14,3,7,7,11,4,1,0.63,2,0,1,555,483,0.87,2,3,2,4,6,0,2,4,8,0,1,0.27,2,0,8,261,199,0.76,1,2,5,4,11,2,6,5,9,10,3,0.61,1,0,5,627,532,0.85,6,5,13,2,8,5,11,4,4,0.39,1,0,3,393,303,0.77,2,3,6,7,15,2,10,5,13,4,1,0.61,4,0,3,509,437,0.86,1,0,5,1,8,2,3,5,13,2,1,0.23,1,0,1,221,140,0.63,5,0,13,19,40,8,25,15,11,18,0,0.65,1,0,4,649,589,0.91,4,3,7,0,3,4,4,2,0,0.35,0,0,8,352,278,0.79
1,2,5,6,11,0,6,5,14,9,0,0.74,2,0,3,718,659,0.92,1,1,7,4,17,6,9,8,2,5,1,0.49,2,0,1,500,425,0.85,3,2,3,8,14,3,10,4,9,9,0,0.65,2,0,2,542,467,0.86,5,6,16,5,8,8,15,7,1,0.35,4,0,1,284,225,0.79,0,1,3,5,12,4,9,3,15,1,4,0.57,3,0,2,596,523,0.88,1,1,6,5,14,3,7,7,15,3,0,0.47,3,0,3,434,350,0.81,2,0,8,10,24,6,14,10,19,9,0,0.74,3,0,3,773,696,0.9,3,4,8,1,6,2,9,2,0,0.26,0,1,6,260,184,0.71
1,0,2,7,11,2,8,3,13,6,3,0.49,0,0,1,476,385,0.81,0,1,3,3,7,1,4,3,14,3,3,0.46,2,0,1,447,339,0.76,0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,1,0,2,5,10,3,3,7,19,4,0,0.5,3,0,1,460,378,0.82,2,3,4,10,18,4,13,5,13,13,0,0.65,3,0,2,525,426,0.81,0,3,6,1,10,3,8,2,12,4,0,0.53,1,0,4,482,414,0.86,4,2,6,0,4,2,11,6,5,0.47,1,0,3,432,358,0.83
0,1,6,9,20,5,15,5,9,17,2,0.58,1,0,2,487,373,0.77,2,1,5,7,14,2,7,7,27,2,6,0.4,8,1,2,317,245,0.77,3,0,4,3,8,1,7,1,0,4,2,0.45,3,0,2,402,298,0.74,2,3,6,1,4,2,0,6,2,0.55,3,0,1,482,388,0.8,1,1,5,6,14,3,11,3,16,6,3,0.55,0,0,1,415,282,0.68,1,1,9,7,19,3,13,6,15,7,2,0.58,3,0,2,385,305,0.79,1,0,3,6,13,4,3,10,0,7,7,0.62,2,0,3,451,354,0.78,4,5,10,1,8,2,0,4,0,0.38,5,0,3,296,206,0.7
