train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
262,-0.3825241590722496,-0.38861511515340874,-0.36120581278819275,-0.4168777322105578,-0.42474153425938144,-0.3994738312777697
525,-0.3715635348710814,-0.3743701047287462,-0.36174054036925474,-0.4019536538344616,-0.4088618078637527,-0.388759177154364
788,-0.3950004919772251,-0.3959279664562487,-0.3921644068549638,-0.41197555551398324,-0.4157098241542022,-0.405961145043931
1051,-0.4042592878662374,-0.42766149886980254,-0.397266767066168,-0.41432375950772515,-0.4346049197301661,-0.4058590639292968
1314,-0.3942046947146325,-0.4182461116787926,-0.38158725494396134,-0.40096543145573105,-0.42252289466017545,-0.3874144089171881
1576,-0.40719857725742725,-0.4222209304454168,-0.40174300082162545,-0.411416612520558,-0.4249842236682532,-0.4044765276361765
1839,-0.4147964723285402,-0.425432708783551,-0.40847155325000734,-0.4191021521201546,-0.4268301303078218,-0.41276809713860885
2102,-0.40302574544498526,-0.40831296772461234,-0.39764090692072723,-0.40730042106015196,-0.4136800784661943,-0.4008475998275025
2365,-0.4150492106091576,-0.42084859823687315,-0.4084454957300409,-0.4178560916126658,-0.4213446263615054,-0.4148874629867504
2628,-0.4082463400819016,-0.41993514823264866,-0.39638291127894915,-0.40936523472831005,-0.419288142980206,-0.39704150594635873
