train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
262,0.7442748091603053,0.7175572519083969,0.7519083969465649,0.26719268296068066,0.2374429223744292,0.29432693508764624
525,0.6045714285714286,0.6005714285714285,0.6057142857142858,0.24862481668077704,0.20821917808219176,0.28428196694008406
788,0.5375634517766498,0.5300761421319796,0.5437817258883249,0.25349636600000924,0.21232876712328766,0.2921971936544947
1051,0.47497621313035204,0.4709800190294957,0.48211227402473833,0.2650613223041086,0.24870624048706239,0.27804055460715327
1314,0.4575342465753424,0.4497716894977169,0.46948249619482496,0.2684108016081202,0.2505327245053272,0.2852359208523592
1576,0.43895939086294417,0.4350888324873096,0.44143401015228423,0.28180039138943247,0.2604261796042618,0.3025440313111546
1839,0.42338227297444264,0.4206090266449157,0.42566612289287653,0.2903225955688794,0.2703196347031963,0.3085235920852359
2102,0.4075166508087536,0.3982397716460514,0.4171265461465271,0.2848496204077667,0.26525586043219385,0.30273972602739724
2365,0.39636363636363636,0.38684989429175476,0.4050739957716702,0.287589346435164,0.2694945247116626,0.30791476407914764
2628,0.38287671232876713,0.37511415525114156,0.39197108066971076,0.28363474020716806,0.26144004478309346,0.3050228310502283
