train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
262,1.0,1.0,1.0,0.2562360920274065,0.2324200913242009,0.28260815255860433
525,0.996952380952381,0.9961904761904762,0.9996190476190476,0.24983692106979777,0.2176560121765601,0.28271363339856487
788,0.9604060913705584,0.942258883248731,0.9708121827411168,0.24314443935545654,0.22237442922374429,0.26842699384232466
1051,0.7052331113225501,0.6900095147478591,0.7114176974310181,0.29549578307957786,0.2669710806697108,0.31628614916286146
1314,0.6257229832572299,0.6207001522070016,0.6330289193302892,0.30340777134714764,0.2694063926940639,0.3363774733637747
1576,0.5837563451776651,0.5690355329949239,0.5932741116751269,0.31345112027128935,0.2855403348554033,0.3354642313546423
1839,0.556063077759652,0.5379554105492115,0.5666122892876564,0.3204507918002526,0.29452054794520544,0.3403348554033485
2102,0.5360608943862988,0.5252616555661275,0.5500475737392959,0.3271492877730126,0.30817129533247284,0.3470319634703196
2365,0.5169556025369978,0.5024947145877379,0.5307399577167019,0.3353652274083635,0.3242009132420091,0.35890410958904106
2628,0.49779299847792996,0.4822678843226788,0.514193302891933,0.3347601004843791,0.3134219742497213,0.3602739726027397
