train_size,train_mean,train_ci_lower,train_ci_upper,validation_mean,validation_ci_lower,validation_ci_upper
623,-0.3397734924061734,-0.3435630675404022,-0.3265099794363726,-0.3525679617514197,-0.35575159665035727,-0.3457486763023977
1247,-0.34065357636463384,-0.3428114821708356,-0.3331009060429274,-0.3507515752191527,-0.3551527377738344,-0.3425182064309386
1871,-0.34106753453519467,-0.34399081636959505,-0.33501461127947085,-0.35075055482294065,-0.35670621084602966,-0.341982202272989
2494,-0.3400543622115333,-0.34429325278722833,-0.33803346021729597,-0.35028472297975216,-0.3566455269841544,-0.34197760968728314
3118,-0.3410175582339198,-0.34561071895798245,-0.339349117608818,-0.34983431789952013,-0.35580658226493184,-0.3420132802598563
3742,-0.34190527805740967,-0.34544780729481384,-0.3404466031212115,-0.34938178008919946,-0.3551037934792307,-0.34205856320235845
4365,-0.34322629871056665,-0.346749037361178,-0.3412897378124615,-0.3492509055944374,-0.35496837449839097,-0.3419347760954352
4989,-0.3443323417066872,-0.3467737410738372,-0.3431107863814703,-0.34898142429577134,-0.3542275993587407,-0.3420767967173025
5613,-0.34390672094636543,-0.3460107869243153,-0.3427829969324053,-0.3486630349898815,-0.35445263870083943,-0.34125873093341214
6237,-0.34580107014292905,-0.34799323882878924,-0.34419900730749464,-0.34887516884834374,-0.35475389532669344,-0.3420810079200531
